yourlist:M202005078BC4D7ADE02784B0C2481C7F3DE0963A1A0CE37	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
O60504	O60504	VINEX_HUMAN	reviewed	Vinexin (SH3-containing adapter molecule 1) (SCAM-1) (Sorbin and SH3 domain-containing protein 3)	SORBS3 SCAM1	Homo sapiens (Human)	671
Q13444	Q13444	ADA15_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 15 (ADAM 15) (EC 3.4.24.-) (Metalloprotease RGD disintegrin protein) (Metalloproteinase-like, disintegrin-like, and cysteine-rich protein 15) (MDC-15) (Metargidin)	ADAM15 MDC15	Homo sapiens (Human)	863
O15259	O15259	NPHP1_HUMAN	reviewed	Nephrocystin-1 (Juvenile nephronophthisis 1 protein)	NPHP1 NPH1	Homo sapiens (Human)	732
Q92556	Q92556	ELMO1_HUMAN	reviewed	Engulfment and cell motility protein 1 (Protein ced-12 homolog)	ELMO1 KIAA0281	Homo sapiens (Human)	727
P61925	P61925	IPKA_HUMAN	reviewed	cAMP-dependent protein kinase inhibitor alpha (PKI-alpha) (cAMP-dependent protein kinase inhibitor, muscle/brain isoform)	PKIA PRKACN1	Homo sapiens (Human)	76
Q93100	Q93100	KPBB_HUMAN	reviewed	Phosphorylase b kinase regulatory subunit beta (Phosphorylase kinase subunit beta)	PHKB	Homo sapiens (Human)	1093
P10636	P10636	TAU_HUMAN	reviewed	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)	MAPT MAPTL MTBT1 TAU	Homo sapiens (Human)	758
P16220	P16220	CREB1_HUMAN	reviewed	Cyclic AMP-responsive element-binding protein 1 (CREB-1) (cAMP-responsive element-binding protein 1)	CREB1	Homo sapiens (Human)	341
P62753	P62753	RS6_HUMAN	reviewed	40S ribosomal protein S6 (Phosphoprotein NP33) (Small ribosomal subunit protein eS6)	RPS6 OK/SW-cl.2	Homo sapiens (Human)	249
P14598	P14598	NCF1_HUMAN	reviewed	Neutrophil cytosol factor 1 (NCF-1) (47 kDa autosomal chronic granulomatous disease protein) (47 kDa neutrophil oxidase factor) (NCF-47K) (Neutrophil NADPH oxidase factor 1) (Nox organizer 2) (Nox-organizing protein 2) (SH3 and PX domain-containing protein 1A) (p47-phox)	NCF1 NOXO2 SH3PXD1A	Homo sapiens (Human)	390
P04792	P04792	HSPB1_HUMAN	reviewed	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	HSPB1 HSP27 HSP28	Homo sapiens (Human)	205
P04004	P04004	VTNC_HUMAN	reviewed	Vitronectin (VN) (S-protein) (Serum-spreading factor) (V75) [Cleaved into: Vitronectin V65 subunit; Vitronectin V10 subunit; Somatomedin-B]	VTN	Homo sapiens (Human)	478
P05787	P05787	K2C8_HUMAN	reviewed	Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)	KRT8 CYK8	Homo sapiens (Human)	483
P20338	P20338	RAB4A_HUMAN	reviewed	Ras-related protein Rab-4A	RAB4A RAB4	Homo sapiens (Human)	218
P08581	P08581	MET_HUMAN	reviewed	Hepatocyte growth factor receptor (HGF receptor) (EC 2.7.10.1) (HGF/SF receptor) (Proto-oncogene c-Met) (Scatter factor receptor) (SF receptor) (Tyrosine-protein kinase Met)	MET	Homo sapiens (Human)	1390
P01589	P01589	IL2RA_HUMAN	reviewed	Interleukin-2 receptor subunit alpha (IL-2 receptor subunit alpha) (IL-2-RA) (IL-2R subunit alpha) (IL2-RA) (TAC antigen) (p55) (CD antigen CD25)	IL2RA	Homo sapiens (Human)	272
P02545	P02545	LMNA_HUMAN	reviewed	Prelamin-A/C [Cleaved into: Lamin-A/C (70 kDa lamin) (Renal carcinoma antigen NY-REN-32)]	LMNA LMN1	Homo sapiens (Human)	664
P20700	P20700	LMNB1_HUMAN	reviewed	Lamin-B1	LMNB1 LMN2 LMNB	Homo sapiens (Human)	586
P02671	P02671	FIBA_HUMAN	reviewed	Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain]	FGA	Homo sapiens (Human)	866
P43487	P43487	RANG_HUMAN	reviewed	Ran-specific GTPase-activating protein (Ran-binding protein 1) (RanBP1)	RANBP1	Homo sapiens (Human)	201
O60238	O60238	BNI3L_HUMAN	reviewed	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3-like (Adenovirus E1B19K-binding protein B5) (BCL2/adenovirus E1B 19 kDa protein-interacting protein 3A) (NIP3-like protein X) (NIP3L)	BNIP3L BNIP3A BNIP3H NIX	Homo sapiens (Human)	219
P10415	P10415	BCL2_HUMAN	reviewed	Apoptosis regulator Bcl-2	BCL2	Homo sapiens (Human)	239
Q92793	Q92793	CBP_HUMAN	reviewed	CREB-binding protein (Histone lysine acetyltransferase CREBBP) (EC 2.3.1.48) (Protein-lysine acetyltransferase CREBBP) (EC 2.3.1.-)	CREBBP CBP	Homo sapiens (Human)	2442
P06400	P06400	RB_HUMAN	reviewed	Retinoblastoma-associated protein (p105-Rb) (p110-RB1) (pRb) (Rb) (pp110)	RB1	Homo sapiens (Human)	928
O15151	O15151	MDM4_HUMAN	reviewed	Protein Mdm4 (Double minute 4 protein) (Mdm2-like p53-binding protein) (Protein Mdmx) (p53-binding protein Mdm4)	MDM4 MDMX	Homo sapiens (Human)	490
P04637	P04637	P53_HUMAN	reviewed	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)	TP53 P53	Homo sapiens (Human)	393
O15078	O15078	CE290_HUMAN	reviewed	Centrosomal protein of 290 kDa (Cep290) (Bardet-Biedl syndrome 14 protein) (Cancer/testis antigen 87) (CT87) (Nephrocystin-6) (Tumor antigen se2-2)	CEP290 BBS14 KIAA0373 NPHP6	Homo sapiens (Human)	2479
O43303	O43303	CP110_HUMAN	reviewed	Centriolar coiled-coil protein of 110 kDa (Centrosomal protein of 110 kDa) (CP110) (Cep110)	CCP110 CEP110 CP110 KIAA0419	Homo sapiens (Human)	1012
O75665	O75665	OFD1_HUMAN	reviewed	Oral-facial-digital syndrome 1 protein (Protein 71-7A)	OFD1 CXorf5	Homo sapiens (Human)	1012
O00444	O00444	PLK4_HUMAN	reviewed	Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase 18) (Serine/threonine-protein kinase Sak)	PLK4 SAK STK18	Homo sapiens (Human)	970
P41208	P41208	CETN2_HUMAN	reviewed	Centrin-2 (Caltractin isoform 1)	CETN2 CALT CEN2	Homo sapiens (Human)	172
Q14203	Q14203	DCTN1_HUMAN	reviewed	Dynactin subunit 1 (150 kDa dynein-associated polypeptide) (DAP-150) (DP-150) (p135) (p150-glued)	DCTN1	Homo sapiens (Human)	1278
P30622	P30622	CLIP1_HUMAN	reviewed	CAP-Gly domain-containing linker protein 1 (Cytoplasmic linker protein 1) (Cytoplasmic linker protein 170 alpha-2) (CLIP-170) (Reed-Sternberg intermediate filament-associated protein) (Restin)	CLIP1 CYLN1 RSN	Homo sapiens (Human)	1438
Q15154	Q15154	PCM1_HUMAN	reviewed	Pericentriolar material 1 protein (PCM-1) (hPCM-1)	PCM1	Homo sapiens (Human)	2024
O14777	O14777	NDC80_HUMAN	reviewed	Kinetochore protein NDC80 homolog (Highly expressed in cancer protein) (Kinetochore protein Hec1) (HsHec1) (Kinetochore-associated protein 2) (Retinoblastoma-associated protein HEC)	NDC80 HEC HEC1 KNTC2	Homo sapiens (Human)	642
Q15468	Q15468	STIL_HUMAN	reviewed	SCL-interrupting locus protein (TAL-1-interrupting locus protein)	STIL SIL	Homo sapiens (Human)	1287
O75161	O75161	NPHP4_HUMAN	reviewed	Nephrocystin-4 (Nephroretinin)	NPHP4 KIAA0673	Homo sapiens (Human)	1426
Q3B820	Q3B820	F161A_HUMAN	reviewed	Protein FAM161A	FAM161A	Homo sapiens (Human)	660
O15182	O15182	CETN3_HUMAN	reviewed	Centrin-3	CETN3 CEN3	Homo sapiens (Human)	167
Q8NBT0	Q8NBT0	POC1A_HUMAN	reviewed	POC1 centriolar protein homolog A (Pix2) (Proteome of centriole protein 1A) (WD repeat-containing protein 51A)	POC1A WDR51A	Homo sapiens (Human)	407
Q8TC44	Q8TC44	POC1B_HUMAN	reviewed	POC1 centriolar protein homolog B (Pix1) (Proteome of centriole protein 1B) (WD repeat-containing protein 51B)	POC1B WDR51B	Homo sapiens (Human)	478
Q8TES7	Q8TES7	FBF1_HUMAN	reviewed	Fas-binding factor 1 (FBF-1) (Protein albatross)	FBF1 ALB KIAA1863	Homo sapiens (Human)	1133
Q92834	Q92834	RPGR_HUMAN	reviewed	X-linked retinitis pigmentosa GTPase regulator	RPGR RP3 XLRP3	Homo sapiens (Human)	1020
Q1MSJ5	Q1MSJ5	CSPP1_HUMAN	reviewed	Centrosome and spindle pole-associated protein 1	CSPP1 CSPP	Homo sapiens (Human)	1256
O95684	O95684	FR1OP_HUMAN	reviewed	FGFR1 oncogene partner	FGFR1OP FOP	Homo sapiens (Human)	399
Q8TC07	Q8TC07	TBC15_HUMAN	reviewed	TBC1 domain family member 15 (GTPase-activating protein RAB7) (GAP for RAB7) (Rab7-GAP)	TBC1D15	Homo sapiens (Human)	691
Q49A88	Q49A88	CCD14_HUMAN	reviewed	Coiled-coil domain-containing protein 14	CCDC14	Homo sapiens (Human)	953
P40222	P40222	TXLNA_HUMAN	reviewed	Alpha-taxilin	TXLNA TXLN	Homo sapiens (Human)	546
Q96CS2	Q96CS2	HAUS1_HUMAN	reviewed	HAUS augmin-like complex subunit 1 (Coiled-coil domain-containing protein 5) (Enhancer of invasion-cluster) (HEI-C)	HAUS1 CCDC5 HEIC	Homo sapiens (Human)	278
Q92844	Q92844	TANK_HUMAN	reviewed	TRAF family member-associated NF-kappa-B activator (TRAF-interacting protein) (I-TRAF)	TANK ITRAF TRAF2	Homo sapiens (Human)	425
Q04206	Q04206	TF65_HUMAN	reviewed	Transcription factor p65 (Nuclear factor NF-kappa-B p65 subunit) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 3)	RELA NFKB3	Homo sapiens (Human)	551
P61981	P61981	1433G_HUMAN	reviewed	14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]	YWHAG	Homo sapiens (Human)	247
O94972	O94972	TRI37_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM37 (EC 2.3.2.27) (Mulibrey nanism protein) (RING-type E3 ubiquitin transferase TRIM37) (Tripartite motif-containing protein 37)	TRIM37 KIAA0898 MUL POB1	Homo sapiens (Human)	964
Q53EZ4	Q53EZ4	CEP55_HUMAN	reviewed	Centrosomal protein of 55 kDa (Cep55) (Up-regulated in colon cancer 6)	CEP55 C10orf3 URCC6	Homo sapiens (Human)	464
Q13625	Q13625	ASPP2_HUMAN	reviewed	Apoptosis-stimulating of p53 protein 2 (Bcl2-binding protein) (Bbp) (Renal carcinoma antigen NY-REN-51) (Tumor suppressor p53-binding protein 2) (53BP2) (p53-binding protein 2) (p53BP2)	TP53BP2 ASPP2 BBP	Homo sapiens (Human)	1128
Q8TD31	Q8TD31	CCHCR_HUMAN	reviewed	Coiled-coil alpha-helical rod protein 1 (Alpha-helical coiled-coil rod protein) (Putative gene 8 protein) (Pg8)	CCHCR1 C6orf18 HCR	Homo sapiens (Human)	782
Q7L590	Q7L590	MCM10_HUMAN	reviewed	Protein MCM10 homolog (HsMCM10)	MCM10 PRO2249	Homo sapiens (Human)	875
P53350	P53350	PLK1_HUMAN	reviewed	Serine/threonine-protein kinase PLK1 (EC 2.7.11.21) (Polo-like kinase 1) (PLK-1) (Serine/threonine-protein kinase 13) (STPK13)	PLK1 PLK	Homo sapiens (Human)	603
Q9BRK4	Q9BRK4	LZTS2_HUMAN	reviewed	Leucine zipper putative tumor suppressor 2 (hLZTS2) (Protein LAPSER1)	LZTS2 KIAA1813 LAPSER1	Homo sapiens (Human)	669
Q86SG6	Q86SG6	NEK8_HUMAN	reviewed	Serine/threonine-protein kinase Nek8 (EC 2.7.11.1) (Never in mitosis A-related kinase 8) (NimA-related protein kinase 8) (Nima-related protein kinase 12a)	NEK8 JCK NEK12A	Homo sapiens (Human)	692
P27986	P27986	P85A_HUMAN	reviewed	Phosphatidylinositol 3-kinase regulatory subunit alpha (PI3-kinase regulatory subunit alpha) (PI3K regulatory subunit alpha) (PtdIns-3-kinase regulatory subunit alpha) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit alpha) (PI3-kinase subunit p85-alpha) (PtdIns-3-kinase regulatory subunit p85-alpha)	PIK3R1 GRB1	Homo sapiens (Human)	724
P13861	P13861	KAP2_HUMAN	reviewed	cAMP-dependent protein kinase type II-alpha regulatory subunit	PRKAR2A PKR2 PRKAR2	Homo sapiens (Human)	404
Q9H3P7	Q9H3P7	GCP60_HUMAN	reviewed	Golgi resident protein GCP60 (Acyl-CoA-binding domain-containing protein 3) (Golgi complex-associated protein 1) (GOCAP1) (Golgi phosphoprotein 1) (GOLPH1) (PBR- and PKA-associated protein 7) (Peripheral benzodiazepine receptor-associated protein PAP7) [Cleaved into: Golgi resident protein GCP60, N-terminally processed]	ACBD3 GCP60 GOCAP1 GOLPH1	Homo sapiens (Human)	528
Q7L576	Q7L576	CYFP1_HUMAN	reviewed	Cytoplasmic FMR1-interacting protein 1 (Specifically Rac1-associated protein 1) (Sra-1) (p140sra-1)	CYFIP1 KIAA0068	Homo sapiens (Human)	1253
P63167	P63167	DYL1_HUMAN	reviewed	Dynein light chain 1, cytoplasmic (8 kDa dynein light chain) (DLC8) (Dynein light chain LC8-type 1) (Protein inhibitor of neuronal nitric oxide synthase) (PIN)	DYNLL1 DLC1 DNCL1 DNCLC1 HDLC1	Homo sapiens (Human)	89
Q15788	Q15788	NCOA1_HUMAN	reviewed	Nuclear receptor coactivator 1 (NCoA-1) (EC 2.3.1.48) (Class E basic helix-loop-helix protein 74) (bHLHe74) (Protein Hin-2) (RIP160) (Renal carcinoma antigen NY-REN-52) (Steroid receptor coactivator 1) (SRC-1)	NCOA1 BHLHE74 SRC1	Homo sapiens (Human)	1441
P06858	P06858	LIPL_HUMAN	reviewed	Lipoprotein lipase (LPL) (EC 3.1.1.34)	LPL LIPD	Homo sapiens (Human)	475
P05230	P05230	FGF1_HUMAN	reviewed	Fibroblast growth factor 1 (FGF-1) (Acidic fibroblast growth factor) (aFGF) (Endothelial cell growth factor) (ECGF) (Heparin-binding growth factor 1) (HBGF-1)	FGF1 FGFA	Homo sapiens (Human)	155
P54252	P54252	ATX3_HUMAN	reviewed	Ataxin-3 (EC 3.4.19.12) (Machado-Joseph disease protein 1) (Spinocerebellar ataxia type 3 protein)	ATXN3 ATX3 MJD MJD1 SCA3	Homo sapiens (Human)	361
P42858	P42858	HD_HUMAN	reviewed	Huntingtin (Huntington disease protein) (HD protein) [Cleaved into: Huntingtin, myristoylated N-terminal fragment]	HTT HD IT15	Homo sapiens (Human)	3142
O75400	O75400	PR40A_HUMAN	reviewed	Pre-mRNA-processing factor 40 homolog A (Fas ligand-associated factor 1) (Formin-binding protein 11) (Formin-binding protein 3) (Huntingtin yeast partner A) (Huntingtin-interacting protein 10) (HIP-10) (Huntingtin-interacting protein A) (Renal carcinoma antigen NY-REN-6)	PRPF40A FBP11 FLAF1 FNBP3 HIP10 HYPA HSPC225	Homo sapiens (Human)	957
O43426	O43426	SYNJ1_HUMAN	reviewed	Synaptojanin-1 (EC 3.1.3.36) (Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 1)	SYNJ1 KIAA0910	Homo sapiens (Human)	1573
P00519	P00519	ABL1_HUMAN	reviewed	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	Homo sapiens (Human)	1130
Q96AY2	Q96AY2	EME1_HUMAN	reviewed	Crossover junction endonuclease EME1 (EC 3.1.22.-) (MMS4 homolog) (hMMS4)	EME1 MMS4	Homo sapiens (Human)	570
P17693	P17693	HLAG_HUMAN	reviewed	HLA class I histocompatibility antigen, alpha chain G (HLA G antigen) (MHC class I antigen G) [Cleaved into: Soluble HLA class I histocompatibility antigen, alpha chain G (sHLA-G)]	HLA-G HLA-6.0 HLAG	Homo sapiens (Human)	338
P61769	P61769	B2MG_HUMAN	reviewed	Beta-2-microglobulin [Cleaved into: Beta-2-microglobulin form pI 5.3]	B2M CDABP0092 HDCMA22P	Homo sapiens (Human)	119
Q07954	Q07954	LRP1_HUMAN	reviewed	Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)]	LRP1 A2MR APR	Homo sapiens (Human)	4544
P30533	P30533	AMRP_HUMAN	reviewed	Alpha-2-macroglobulin receptor-associated protein (Alpha-2-MRAP) (Low density lipoprotein receptor-related protein-associated protein 1) (RAP)	LRPAP1 A2MRAP	Homo sapiens (Human)	357
Q6Q788	Q6Q788	APOA5_HUMAN	reviewed	Apolipoprotein A-V (Apo-AV) (ApoA-V) (Apolipoprotein A5) (Regeneration-associated protein 3)	APOA5 RAP3 UNQ411/PRO773	Homo sapiens (Human)	366
P02649	P02649	APOE_HUMAN	reviewed	Apolipoprotein E (Apo-E)	APOE	Homo sapiens (Human)	317
P06213	P06213	INSR_HUMAN	reviewed	Insulin receptor (IR) (EC 2.7.10.1) (CD antigen CD220) [Cleaved into: Insulin receptor subunit alpha; Insulin receptor subunit beta]	INSR	Homo sapiens (Human)	1382
P30153	P30153	2AAA_HUMAN	reviewed	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (Medium tumor antigen-associated 61 kDa protein) (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha)	PPP2R1A	Homo sapiens (Human)	589
P46098	P46098	5HT3A_HUMAN	reviewed	5-hydroxytryptamine receptor 3A (5-HT3-A) (5-HT3A) (5-hydroxytryptamine receptor 3) (5-HT-3) (5-HT3R) (Serotonin receptor 3A) (Serotonin-gated ion channel receptor)	HTR3A 5HT3R HTR3	Homo sapiens (Human)	478
A5X5Y0	A5X5Y0	5HT3E_HUMAN	reviewed	5-hydroxytryptamine receptor 3E (5-HT3-E) (5-HT3E) (Serotonin receptor 3E)	HTR3E	Homo sapiens (Human)	456
P06733	P06733	ENOA_HUMAN	reviewed	Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein)	ENO1 ENO1L1 MBPB1 MPB1	Homo sapiens (Human)	434
P22303	P22303	ACES_HUMAN	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7)	ACHE	Homo sapiens (Human)	614
P20340	P20340	RAB6A_HUMAN	reviewed	Ras-related protein Rab-6A (Rab-6)	RAB6A RAB6	Homo sapiens (Human)	208
P40616	P40616	ARL1_HUMAN	reviewed	ADP-ribosylation factor-like protein 1	ARL1	Homo sapiens (Human)	181
P13010	P13010	XRCC5_HUMAN	reviewed	X-ray repair cross-complementing protein 5 (EC 3.6.4.-) (86 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 2) (ATP-dependent DNA helicase II 80 kDa subunit) (CTC box-binding factor 85 kDa subunit) (CTC85) (CTCBF) (DNA repair protein XRCC5) (Ku80) (Ku86) (Lupus Ku autoantigen protein p86) (Nuclear factor IV) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining))	XRCC5 G22P2	Homo sapiens (Human)	732
P12956	P12956	XRCC6_HUMAN	reviewed	X-ray repair cross-complementing protein 6 (EC 3.6.4.-) (EC 4.2.99.-) (5'-deoxyribose-5-phosphate lyase Ku70) (5'-dRP lyase Ku70) (70 kDa subunit of Ku antigen) (ATP-dependent DNA helicase 2 subunit 1) (ATP-dependent DNA helicase II 70 kDa subunit) (CTC box-binding factor 75 kDa subunit) (CTC75) (CTCBF) (DNA repair protein XRCC6) (Lupus Ku autoantigen protein p70) (Ku70) (Thyroid-lupus autoantigen) (TLAA) (X-ray repair complementing defective repair in Chinese hamster cells 6)	XRCC6 G22P1	Homo sapiens (Human)	609
Q16531	Q16531	DDB1_HUMAN	reviewed	DNA damage-binding protein 1 (DDB p127 subunit) (DNA damage-binding protein a) (DDBa) (Damage-specific DNA-binding protein 1) (HBV X-associated protein 1) (XAP-1) (UV-damaged DNA-binding factor) (UV-damaged DNA-binding protein 1) (UV-DDB 1) (XPE-binding factor) (XPE-BF) (Xeroderma pigmentosum group E-complementing protein) (XPCe)	DDB1 XAP1	Homo sapiens (Human)	1140
O60282	O60282	KIF5C_HUMAN	reviewed	Kinesin heavy chain isoform 5C (Kinesin heavy chain neuron-specific 2)	KIF5C KIAA0531 NKHC2	Homo sapiens (Human)	957
Q9HAU4	Q9HAU4	SMUF2_HUMAN	reviewed	E3 ubiquitin-protein ligase SMURF2 (hSMURF2) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase SMURF2) (SMAD ubiquitination regulatory factor 2) (SMAD-specific E3 ubiquitin-protein ligase 2)	SMURF2	Homo sapiens (Human)	748
P53667	P53667	LIMK1_HUMAN	reviewed	LIM domain kinase 1 (LIMK-1) (EC 2.7.11.1)	LIMK1 LIMK	Homo sapiens (Human)	647
P04049	P04049	RAF1_HUMAN	reviewed	RAF proto-oncogene serine/threonine-protein kinase (EC 2.7.11.1) (Proto-oncogene c-RAF) (cRaf) (Raf-1)	RAF1 RAF	Homo sapiens (Human)	648
P51587	P51587	BRCA2_HUMAN	reviewed	Breast cancer type 2 susceptibility protein (Fanconi anemia group D1 protein)	BRCA2 FACD FANCD1	Homo sapiens (Human)	3418
P43626	P43626	KI2L1_HUMAN	reviewed	Killer cell immunoglobulin-like receptor 2DL1 (CD158 antigen-like family member A) (MHC class I NK cell receptor) (Natural killer-associated transcript 1) (NKAT-1) (p58 natural killer cell receptor clones CL-42/47.11) (p58 NK receptor CL-42/47.11) (p58.1 MHC class-I-specific NK receptor) (CD antigen CD158a)	KIR2DL1 CD158A NKAT1	Homo sapiens (Human)	348
P01732	P01732	CD8A_HUMAN	reviewed	T-cell surface glycoprotein CD8 alpha chain (T-lymphocyte differentiation antigen T8/Leu-2) (CD antigen CD8a)	CD8A MAL	Homo sapiens (Human)	235
P13497	P13497	BMP1_HUMAN	reviewed	Bone morphogenetic protein 1 (BMP-1) (EC 3.4.24.19) (Mammalian tolloid protein) (mTld) (Procollagen C-proteinase) (PCP)	BMP1 PCOLC	Homo sapiens (Human)	986
P17096	P17096	HMGA1_HUMAN	reviewed	High mobility group protein HMG-I/HMG-Y (HMG-I(Y)) (High mobility group AT-hook protein 1) (High mobility group protein A1) (High mobility group protein R)	HMGA1 HMGIY	Homo sapiens (Human)	107
P52926	P52926	HMGA2_HUMAN	reviewed	High mobility group protein HMGI-C (High mobility group AT-hook protein 2)	HMGA2 HMGIC	Homo sapiens (Human)	109
P11362	P11362	FGFR1_HUMAN	reviewed	Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (Proto-oncogene c-Fgr) (CD antigen CD331)	FGFR1 BFGFR CEK FGFBR FLG FLT2 HBGFR	Homo sapiens (Human)	822
P21802	P21802	FGFR2_HUMAN	reviewed	Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332)	FGFR2 BEK KGFR KSAM	Homo sapiens (Human)	821
P09038	P09038	FGF2_HUMAN	reviewed	Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2)	FGF2 FGFB	Homo sapiens (Human)	288
