yourlist:M20200510216DA2B77BFBD2E6699CA9B6D1C41EB286EFE0C	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
O95295	O95295	SNAPN_HUMAN	reviewed	SNARE-associated protein Snapin (Biogenesis of lysosome-related organelles complex 1 subunit 7) (BLOC-1 subunit 7) (Synaptosomal-associated protein 25-binding protein) (SNAP-associated protein)	SNAPIN BLOC1S7 SNAP25BP SNAPAP	Homo sapiens (Human)	136
Q6ZSJ9-1	Q6ZSJ9	SHSA6_HUMAN	reviewed	Protein shisa-6	SHISA6	Homo sapiens (Human)	500
P29033	P29033	CXB2_HUMAN	reviewed	Gap junction beta-2 protein (Connexin-26) (Cx26)	GJB2	Homo sapiens (Human)	226
Q2TAL8	Q2TAL8	QRIC1_HUMAN	reviewed	Glutamine-rich protein 1	QRICH1	Homo sapiens (Human)	776
Q9NR12-1	Q9NR12	PDLI7_HUMAN	reviewed	PDZ and LIM domain protein 7 (LIM mineralization protein) (LMP) (Protein enigma)	PDLIM7 ENIGMA	Homo sapiens (Human)	457
H7C112	H7C112	H7C112_HUMAN	unreviewed	F-box/LRR-repeat protein 19 (Fragment)	FBXL19	Homo sapiens (Human)	586
Q9H7T9-1	Q9H7T9	AUNIP_HUMAN	reviewed	Aurora kinase A and ninein-interacting protein (AIBp)	AUNIP C1orf135	Homo sapiens (Human)	357
Q7L273	Q7L273	KCTD9_HUMAN	reviewed	BTB/POZ domain-containing protein KCTD9	KCTD9	Homo sapiens (Human)	389
P17568	P17568	NDUB7_HUMAN	reviewed	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7 (Cell adhesion protein SQM1) (Complex I-B18) (CI-B18) (NADH-ubiquinone oxidoreductase B18 subunit)	NDUFB7	Homo sapiens (Human)	137
O95257	O95257	GA45G_HUMAN	reviewed	Growth arrest and DNA damage-inducible protein GADD45 gamma (Cytokine-responsive protein CR6) (DNA damage-inducible transcript 2 protein) (DDIT-2)	GADD45G CR6 DDIT2	Homo sapiens (Human)	159
A0A0C4DH14	A0A0C4DH14	A0A0C4DH14_HUMAN	unreviewed	UPF0545 protein C22orf39	C22orf39	Homo sapiens (Human)	105
P49447-1	P49447	CY561_HUMAN	reviewed	Cytochrome b561 (Cytochrome b-561)	CYB561	Homo sapiens (Human)	251
P04233-2	P04233	HG2A_HUMAN	reviewed	HLA class II histocompatibility antigen gamma chain (HLA-DR antigens-associated invariant chain) (Ia antigen-associated invariant chain) (Ii) (p33) (CD antigen CD74) [Cleaved into: Class-II-associated invariant chain peptide (CLIP)]	CD74 DHLAG	Homo sapiens (Human)	296
O43186	O43186	CRX_HUMAN	reviewed	Cone-rod homeobox protein	CRX CORD2	Homo sapiens (Human)	299
Q70EL1-9	Q70EL1	UBP54_HUMAN	reviewed	Inactive ubiquitin carboxyl-terminal hydrolase 54 (Inactive ubiquitin-specific peptidase 54)	USP54 C10orf29	Homo sapiens (Human)	1684
Q59EK9-3	Q59EK9	RUN3A_HUMAN	reviewed	RUN domain-containing protein 3A (Rap2-interacting protein 8) (RPIP-8)	RUNDC3A RAP2IP RPIP8	Homo sapiens (Human)	446
Q8TBB1-1	Q8TBB1	LNX1_HUMAN	reviewed	E3 ubiquitin-protein ligase LNX (EC 2.3.2.27) (Ligand of Numb-protein X 1) (Numb-binding protein 1) (PDZ domain-containing RING finger protein 2) (RING-type E3 ubiquitin transferase LNX)	LNX1 LNX PDZRN2 UNQ574/PRO1136	Homo sapiens (Human)	728
F6XHT0	F6XHT0	F6XHT0_HUMAN	unreviewed	Selenoprotein K	SELENOK	Homo sapiens (Human)	93
I3L0H3	I3L0H3	I3L0H3_HUMAN	unreviewed	Tripartite motif-containing protein 73	TRIM73	Homo sapiens (Human)	249
O14569	O14569	C56D2_HUMAN	reviewed	Cytochrome b561 domain-containing protein 2 (EC 7.2.1.3) (Putative tumor suppressor protein 101F6) (Transmembrane ascorbate ferrireductase)	CYB561D2 101F6 LUCA12.2	Homo sapiens (Human)	222
Q16617	Q16617	NKG7_HUMAN	reviewed	Protein NKG7 (G-CSF-induced gene 1 protein) (GIG-1 protein) (Granule membrane protein of 17 kDa) (GMP-17) (Natural killer cell protein 7) (p15-TIA-1)	NKG7 GIG1	Homo sapiens (Human)	165
Q8IYA8-1	Q8IYA8	IHO1_HUMAN	reviewed	Interactor of HORMAD1 protein 1 (Cancer/testis antigen 74) (CT74) (Coiled-coil domain-containing protein 36)	CCDC36 IHO1	Homo sapiens (Human)	594
Q8NFV4-4	Q8NFV4	ABHDB_HUMAN	reviewed	Protein ABHD11 (EC 3.-.-.-) (Alpha/beta hydrolase domain-containing protein 11) (Abhydrolase domain-containing protein 11) (Williams-Beuren syndrome chromosomal region 21 protein)	ABHD11 WBSCR21 PP1226	Homo sapiens (Human)	315
A0A075B739	A0A075B739	A0A075B739_HUMAN	unreviewed	Coiled-coil domain-containing protein 187	CCDC187	Homo sapiens (Human)	953
Q8WW01-1	Q8WW01	SEN15_HUMAN	reviewed	tRNA-splicing endonuclease subunit Sen15 (SEN15 homolog) (HsSEN15) (tRNA-intron endonuclease Sen15)	TSEN15 C1orf19 SEN15	Homo sapiens (Human)	171
Q53HI1	Q53HI1	UNC50_HUMAN	reviewed	Protein unc-50 homolog (Periodontal ligament-specific protein 22) (PDLs22) (Protein GMH1 homolog) (hGMH1) (Uncoordinated-like protein)	UNC50 UNCL HSD-23 HSD23	Homo sapiens (Human)	259
O00560-1	O00560	SDCB1_HUMAN	reviewed	Syntenin-1 (Melanoma differentiation-associated protein 9) (MDA-9) (Pro-TGF-alpha cytoplasmic domain-interacting protein 18) (TACIP18) (Scaffold protein Pbp1) (Syndecan-binding protein 1)	SDCBP MDA9 SYCL	Homo sapiens (Human)	298
Q8WWP7	Q8WWP7	GIMA1_HUMAN	reviewed	GTPase IMAP family member 1 (Immunity-associated protein 1) (hIMAP1)	GIMAP1 IMAP1	Homo sapiens (Human)	306
O15155-1	O15155	BET1_HUMAN	reviewed	BET1 homolog (hBET1) (Golgi vesicular membrane-trafficking protein p18)	BET1	Homo sapiens (Human)	118
O75603	O75603	GCM2_HUMAN	reviewed	Chorion-specific transcription factor GCMb (hGCMb) (GCM motif protein 2) (Glial cells missing homolog 2)	GCM2 GCMB	Homo sapiens (Human)	506
P09234	P09234	RU1C_HUMAN	reviewed	U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)	SNRPC	Homo sapiens (Human)	159
P24592	P24592	IBP6_HUMAN	reviewed	Insulin-like growth factor-binding protein 6 (IBP-6) (IGF-binding protein 6) (IGFBP-6)	IGFBP6 IBP6	Homo sapiens (Human)	240
P78317-1	P78317	RNF4_HUMAN	reviewed	E3 ubiquitin-protein ligase RNF4 (EC 2.3.2.27) (RING finger protein 4) (RING-type E3 ubiquitin transferase RNF4) (Small nuclear ring finger protein) (Protein SNURF)	RNF4 SNURF RES4-26	Homo sapiens (Human)	190
P13236	P13236	CCL4_HUMAN	reviewed	C-C motif chemokine 4 (G-26 T-lymphocyte-secreted protein) (HC21) (Lymphocyte activation gene 1 protein) (LAG-1) (MIP-1-beta(1-69)) (Macrophage inflammatory protein 1-beta) (MIP-1-beta) (PAT 744) (Protein H400) (SIS-gamma) (Small-inducible cytokine A4) (T-cell activation protein 2) (ACT-2) [Cleaved into: MIP-1-beta(3-69)]	CCL4 LAG1 MIP1B SCYA4	Homo sapiens (Human)	92
O95817	O95817	BAG3_HUMAN	reviewed	BAG family molecular chaperone regulator 3 (BAG-3) (Bcl-2-associated athanogene 3) (Bcl-2-binding protein Bis) (Docking protein CAIR-1)	BAG3 BIS	Homo sapiens (Human)	575
P14678-2	P14678	RSMB_HUMAN	reviewed	Small nuclear ribonucleoprotein-associated proteins B and B' (snRNP-B) (Sm protein B/B') (Sm-B/B') (SmB/B')	SNRPB COD SNRPB1	Homo sapiens (Human)	240
Q4KMG9-1	Q4KMG9	TM52B_HUMAN	reviewed	Transmembrane protein 52B	TMEM52B C12orf59 UNQ5927/PRO19821	Homo sapiens (Human)	183
P35227	P35227	PCGF2_HUMAN	reviewed	Polycomb group RING finger protein 2 (DNA-binding protein Mel-18) (RING finger protein 110) (Zinc finger protein 144)	PCGF2 MEL18 RNF110 ZNF144	Homo sapiens (Human)	344
P21145-1	P21145	MAL_HUMAN	reviewed	Myelin and lymphocyte protein (T-lymphocyte maturation-associated protein)	MAL	Homo sapiens (Human)	153
Q8WTX7	Q8WTX7	CAST1_HUMAN	reviewed	Cytosolic arginine sensor for mTORC1 subunit 1 (Cellular arginine sensor for mTORC1 protein 1) (GATS-like protein 3)	CASTOR1 GATSL3	Homo sapiens (Human)	329
Q04941-1	Q04941	PLP2_HUMAN	reviewed	Proteolipid protein 2 (Differentiation-dependent protein A4) (Intestinal membrane A4 protein)	PLP2 A4	Homo sapiens (Human)	152
Q96BI1	Q96BI1	S22AI_HUMAN	reviewed	Solute carrier family 22 member 18 (Beckwith-Wiedemann syndrome chromosomal region 1 candidate gene A protein) (Efflux transporter-like protein) (Imprinted multi-membrane-spanning polyspecific transporter-related protein 1) (Organic cation transporter-like protein 2) (ORCTL-2) (Solute carrier family 22 member 1-like) (Tumor-suppressing STF cDNA 5 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 5 protein) (p45-Beckwith-Wiedemann region 1 A) (p45-BWR1A)	SLC22A18 BWR1A BWSCR1A HET IMPT1 ITM ORCTL2 SLC22A1L TSSC5	Homo sapiens (Human)	424
Q8IXB3	Q8IXB3	TARG1_HUMAN	reviewed	Trafficking regulator of GLUT4 1 (Dispanin subfamily B member 1) (DSPB1) (Interferon-induced transmembrane domain-containing protein D3) (Protein located at seventeen-p-thirteen point three 1) (Tumor suppressor candidate 5)	TRARG1 IFITMD3 LOST1 TUSC5	Homo sapiens (Human)	177
Q8TD16-2	Q8TD16	BICD2_HUMAN	reviewed	Protein bicaudal D homolog 2 (Bic-D 2)	BICD2 KIAA0699	Homo sapiens (Human)	824
Q13323	Q13323	BIK_HUMAN	reviewed	Bcl-2-interacting killer (Apoptosis inducer NBK) (BIP1) (BP4)	BIK NBK	Homo sapiens (Human)	160
P32243-2	P32243	OTX2_HUMAN	reviewed	Homeobox protein OTX2 (Orthodenticle homolog 2)	OTX2	Homo sapiens (Human)	289
P04259	P04259	K2C6B_HUMAN	reviewed	Keratin, type II cytoskeletal 6B (Cytokeratin-6B) (CK-6B) (Keratin-6B) (K6B) (Type-II keratin Kb10)	KRT6B K6B KRTL1	Homo sapiens (Human)	564
Q12901-1	Q12901	ZN155_HUMAN	reviewed	Zinc finger protein 155	ZNF155	Homo sapiens (Human)	538
P29972-1	P29972	AQP1_HUMAN	reviewed	Aquaporin-1 (AQP-1) (Aquaporin-CHIP) (Urine water channel) (Water channel protein for red blood cells and kidney proximal tubule)	AQP1 CHIP28	Homo sapiens (Human)	269
Q86WH2-1	Q86WH2	RASF3_HUMAN	reviewed	Ras association domain-containing protein 3	RASSF3	Homo sapiens (Human)	238
P61236-2	P61236	YPEL3_HUMAN	reviewed	Protein yippee-like 3	YPEL3 FKSG5	Homo sapiens (Human)	119
Q00059-1	Q00059	TFAM_HUMAN	reviewed	Transcription factor A, mitochondrial (mtTFA) (Mitochondrial transcription factor 1) (MtTF1) (Transcription factor 6) (TCF-6) (Transcription factor 6-like 2)	TFAM TCF6 TCF6L2	Homo sapiens (Human)	246
Q96B67	Q96B67	ARRD3_HUMAN	reviewed	Arrestin domain-containing protein 3 (TBP-2-like inducible membrane protein) (TLIMP)	ARRDC3 KIAA1376	Homo sapiens (Human)	414
Q3KNR5	Q3KNR5	Q3KNR5_HUMAN	unreviewed	PAX4 protein (Paired box protein Pax-4)	PAX4	Homo sapiens (Human)	257
A0A087WXA6	A0A087WXA6	A0A087WXA6_HUMAN	unreviewed	GRIP1-associated protein 1 (Fragment)	GRIPAP1	Homo sapiens (Human)	302
Q08AM6-1	Q08AM6	VAC14_HUMAN	reviewed	Protein VAC14 homolog (Tax1-binding protein 2)	VAC14 TAX1BP2 TRX	Homo sapiens (Human)	782
Q86YT5-1	Q86YT5	S13A5_HUMAN	reviewed	Solute carrier family 13 member 5 (Na(+)/citrate cotransporter) (NaCT) (Sodium-coupled citrate transporter) (Sodium-dependent citrate transporter)	SLC13A5 NACT	Homo sapiens (Human)	568
P0CB47	P0CB47	UBFL1_HUMAN	reviewed	Upstream-binding factor 1-like protein 1	UBTFL1 C11orf27	Homo sapiens (Human)	393
P04921-1	P04921	GLPC_HUMAN	reviewed	Glycophorin-C (Glycoconnectin) (Glycophorin-D) (GPD) (Glycoprotein beta) (PAS-2') (Sialoglycoprotein D) (CD antigen CD236)	GYPC GLPC GPC	Homo sapiens (Human)	128
A0A1B0GTW0	P0DN84	DWORF_HUMAN	reviewed	Sarcoplasmic/endoplasmic reticulum calcium ATPase regulator DWORF (SERCA regulator DWORF) (Dwarf open reading frame) (DWORF) (Small transmembrane regulator of ion transport 1)	STRIT1 DWORF	Homo sapiens (Human)	35
Q5JR59-3	Q5JR59	MTUS2_HUMAN	reviewed	Microtubule-associated tumor suppressor candidate 2 (Cardiac zipper protein) (Microtubule plus-end tracking protein TIP150) (Tracking protein of 150 kDa)	MTUS2 CAZIP KIAA0774 TIP150	Homo sapiens (Human)	1369
Q96C00	Q96C00	ZBTB9_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 9	ZBTB9	Homo sapiens (Human)	473
O14972-1	O14972	VP26C_HUMAN	reviewed	Vacuolar protein sorting-associated protein 26C (Down syndrome critical region protein 3) (Down syndrome critical region protein A)	VPS26C DCRA DSCR3 DSCRA	Homo sapiens (Human)	297
O15496	O15496	PA2GX_HUMAN	reviewed	Group 10 secretory phospholipase A2 (EC 3.1.1.4) (Group X secretory phospholipase A2) (GX sPLA2) (sPLA2-X) (Phosphatidylcholine 2-acylhydrolase 10)	PLA2G10	Homo sapiens (Human)	165
J3QT27	J3QT27	J3QT27_HUMAN	unreviewed	Poly(rC)-binding protein 3 (Fragment)	PCBP3	Homo sapiens (Human)	322
Q13520	Q13520	AQP6_HUMAN	reviewed	Aquaporin-6 (AQP-6) (Aquaporin-2-like) (Kidney-specific aquaporin) (hKID)	AQP6 AQP2L	Homo sapiens (Human)	282
A0A087WUI6	A0A087WUI6	A0A087WUI6_HUMAN	unreviewed	Progesterone-induced-blocking factor 1	PIBF1	Homo sapiens (Human)	698
O15552	O15552	FFAR2_HUMAN	reviewed	Free fatty acid receptor 2 (G-protein coupled receptor 43)	FFAR2 FFA2 GPCR43 GPR43	Homo sapiens (Human)	330
A4D2B0	A4D2B0	MBLC1_HUMAN	reviewed	Metallo-beta-lactamase domain-containing protein 1 (EC 3.-.-.-)	MBLAC1	Homo sapiens (Human)	266
Q15041-1	Q15041	AR6P1_HUMAN	reviewed	ADP-ribosylation factor-like protein 6-interacting protein 1 (ARL-6-interacting protein 1) (Aip-1) (Apoptotic regulator in the membrane of the endoplasmic reticulum)	ARL6IP1 ARL6IP ARMER KIAA0069	Homo sapiens (Human)	203
Q2TAA2-1	Q2TAA2	IAH1_HUMAN	reviewed	Isoamyl acetate-hydrolyzing esterase 1 homolog (EC 3.1.-.-)	IAH1	Homo sapiens (Human)	248
Q7Z6G3-2	Q7Z6G3	NECA2_HUMAN	reviewed	N-terminal EF-hand calcium-binding protein 2 (EF-hand calcium-binding protein 2) (Neuronal calcium-binding protein 2) (Synaptotagmin-interacting protein 2) (Stip-2)	NECAB2 EFCBP2	Homo sapiens (Human)	386
Q3LI67	Q3LI67	KRA63_HUMAN	reviewed	Keratin-associated protein 6-3	KRTAP6-3 KAP6.3	Homo sapiens (Human)	103
Q9NP66-1	Q9NP66	HM20A_HUMAN	reviewed	High mobility group protein 20A (HMG box-containing protein 20A) (HMG domain-containing protein 1) (HMG domain-containing protein HMGX1)	HMG20A HMGX1 HMGXB1	Homo sapiens (Human)	347
O43829	O43829	ZBT14_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 14 (Zinc finger protein 161 homolog) (Zfp-161) (Zinc finger protein 478) (Zinc finger protein 5 homolog) (ZF5) (Zfp-5) (hZF5)	ZBTB14 ZFP161 ZNF478	Homo sapiens (Human)	449
O95214-1	O95214	LERL1_HUMAN	reviewed	Leptin receptor overlapping transcript-like 1 (Endospanin-2)	LEPROTL1 My047 UNQ577/PRO1139	Homo sapiens (Human)	131
Q92764	Q92764	KRT35_HUMAN	reviewed	Keratin, type I cuticular Ha5 (Hair keratin, type I Ha5) (Keratin-35) (K35)	KRT35 HHA5 HKA5 KRTHA5	Homo sapiens (Human)	455
Q96BA8-1	Q96BA8	CR3L1_HUMAN	reviewed	Cyclic AMP-responsive element-binding protein 3-like protein 1 (cAMP-responsive element-binding protein 3-like protein 1) (Old astrocyte specifically-induced substance) (OASIS) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 1]	CREB3L1 OASIS PSEC0238	Homo sapiens (Human)	519
Q3SXP7	Q3SXP7	SHSL1_HUMAN	reviewed	Protein shisa-like-1	SHISAL1 KIAA1644	Homo sapiens (Human)	199
P09619-1	P09619	PGFRB_HUMAN	reviewed	Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)	PDGFRB PDGFR PDGFR1	Homo sapiens (Human)	1106
O14880	O14880	MGST3_HUMAN	reviewed	Microsomal glutathione S-transferase 3 (Microsomal GST-3) (Glutathione peroxidase MGST3) (EC 1.11.1.-) (LTC4 synthase MGST3) (EC 4.4.1.20) (Microsomal glutathione S-transferase III) (Microsomal GST-III)	MGST3	Homo sapiens (Human)	152
O75604-1	O75604	UBP2_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 2 (EC 3.4.19.12) (41 kDa ubiquitin-specific protease) (Deubiquitinating enzyme 2) (Ubiquitin thioesterase 2) (Ubiquitin-specific-processing protease 2)	USP2 UBP41	Homo sapiens (Human)	605
A1L3X0	A1L3X0	ELOV7_HUMAN	reviewed	Elongation of very long chain fatty acids protein 7 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL7) (ELOVL fatty acid elongase 7) (ELOVL FA elongase 7) (Very long chain 3-ketoacyl-CoA synthase 7) (Very long chain 3-oxoacyl-CoA synthase 7)	ELOVL7	Homo sapiens (Human)	281
Q8IW00-1	Q8IW00	VSTM4_HUMAN	reviewed	V-set and transmembrane domain-containing protein 4 [Cleaved into: Peptide Lv]	VSTM4 C10orf72	Homo sapiens (Human)	320
A0A2H2FF08	A0A2H2FF08	A0A2H2FF08_HUMAN	unreviewed	Zinc finger FYVE domain-containing protein 26	ZFYVE26	Homo sapiens (Human)	327
P11926	P11926	DCOR_HUMAN	reviewed	Ornithine decarboxylase (ODC) (EC 4.1.1.17)	ODC1	Homo sapiens (Human)	461
A0A087WWI0	A0A087WWI0	A0A087WWI0_HUMAN	unreviewed	Leucine-rich melanocyte differentiation-associated protein	LRMDA	Homo sapiens (Human)	226
Q495Y8-2	Q495Y8	SPDE2_HUMAN	reviewed	Speedy protein E2	SPDYE2	Homo sapiens (Human)	402
P47897-1	P47897	SYQ_HUMAN	reviewed	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	QARS1 QARS	Homo sapiens (Human)	775
H7C4R2	H7C4R2	H7C4R2_HUMAN	unreviewed	Coiled-coil domain-containing protein 136 (Fragment)	CCDC136	Homo sapiens (Human)	1034
O43865-1	O43865	SAHH2_HUMAN	reviewed	S-adenosylhomocysteine hydrolase-like protein 1 (DC-expressed AHCY-like molecule) (IP(3)Rs binding protein released with IP(3)) (IRBIT) (Putative adenosylhomocysteinase 2) (S-adenosyl-L-homocysteine hydrolase 2) (AdoHcyase 2)	AHCYL1 DCAL IRBIT XPVKONA	Homo sapiens (Human)	530
P24593	P24593	IBP5_HUMAN	reviewed	Insulin-like growth factor-binding protein 5 (IBP-5) (IGF-binding protein 5) (IGFBP-5)	IGFBP5 IBP5	Homo sapiens (Human)	272
Q5JX71	Q5JX71	F209A_HUMAN	reviewed	Protein FAM209A	FAM209A C20orf106	Homo sapiens (Human)	171
P26367-1	P26367	PAX6_HUMAN	reviewed	Paired box protein Pax-6 (Aniridia type II protein) (Oculorhombin)	PAX6 AN2	Homo sapiens (Human)	422
P50222	P50222	MEOX2_HUMAN	reviewed	Homeobox protein MOX-2 (Growth arrest-specific homeobox) (Mesenchyme homeobox 2)	MEOX2 GAX MOX2	Homo sapiens (Human)	304
P40855-1	P40855	PEX19_HUMAN	reviewed	Peroxisomal biogenesis factor 19 (33 kDa housekeeping protein) (Peroxin-19) (Peroxisomal farnesylated protein)	PEX19 HK33 PXF OK/SW-cl.22	Homo sapiens (Human)	299
P62140	P62140	PP1B_HUMAN	reviewed	Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (PPP1CD) (EC 3.1.3.16) (EC 3.1.3.53)	PPP1CB	Homo sapiens (Human)	327
P27105-1	P27105	STOM_HUMAN	reviewed	Erythrocyte band 7 integral membrane protein (Protein 7.2b) (Stomatin)	STOM BND7 EPB72	Homo sapiens (Human)	288
P86496	P86496	PR20A_HUMAN	reviewed	Proline-rich protein 20A	PRR20A PRR20	Homo sapiens (Human)	221
O75031-1	O75031	HSF2B_HUMAN	reviewed	Heat shock factor 2-binding protein	HSF2BP	Homo sapiens (Human)	334
Q9BYR7	Q9BYR7	KRA32_HUMAN	reviewed	Keratin-associated protein 3-2 (High sulfur keratin-associated protein 3.2) (Keratin-associated protein 3.2)	KRTAP3-2 KAP3.2 KRTAP3.2	Homo sapiens (Human)	98
Q13433-2	Q13433	S39A6_HUMAN	reviewed	Zinc transporter ZIP6 (Estrogen-regulated protein LIV-1) (Solute carrier family 39 member 6) (Zrt- and Irt-like protein 6) (ZIP-6)	SLC39A6 LIV1 ZIP6	Homo sapiens (Human)	755
O76003	O76003	GLRX3_HUMAN	reviewed	Glutaredoxin-3 (PKC-interacting cousin of thioredoxin) (PICOT) (PKC-theta-interacting protein) (PKCq-interacting protein) (Thioredoxin-like protein 2)	GLRX3 PICOT TXNL2 HUSSY-22	Homo sapiens (Human)	335
O95377	O95377	CXB5_HUMAN	reviewed	Gap junction beta-5 protein (Connexin-31.1) (Cx31.1)	GJB5	Homo sapiens (Human)	273
